day,project,usd_volume
2021-02-21T00:00:00+00:00,Sushiswap,343864130.1078555
2021-02-21T00:00:00+00:00,Uniswap,1056092138.3709477
2021-02-22T00:00:00+00:00,Sushiswap,842014706.8828944
2021-02-22T00:00:00+00:00,Uniswap,1543215733.2729783
2021-02-23T00:00:00+00:00,Sushiswap,1283823088.96338
2021-02-23T00:00:00+00:00,Uniswap,1817588741.4716508
2021-02-24T00:00:00+00:00,Sushiswap,518162464.6413521
2021-02-24T00:00:00+00:00,Uniswap,1194972840.7441075
2021-02-25T00:00:00+00:00,Sushiswap,381847842.53889257
2021-02-25T00:00:00+00:00,Uniswap,1071780945.914673
2021-02-26T00:00:00+00:00,Sushiswap,523781059.10527635
2021-02-26T00:00:00+00:00,Uniswap,1089475128.8235576
2021-02-27T00:00:00+00:00,Sushiswap,367584677.9103114
2021-02-27T00:00:00+00:00,Uniswap,834169604.1359988
2021-02-28T00:00:00+00:00,Sushiswap,555417256.5204518
2021-02-28T00:00:00+00:00,Uniswap,1055791644.1274879
2021-03-01T00:00:00+00:00,Sushiswap,409824456.3453838
2021-03-01T00:00:00+00:00,Uniswap,924758039.8747506
2021-03-02T00:00:00+00:00,Sushiswap,502251197.4974866
2021-03-02T00:00:00+00:00,Uniswap,909749314.8439714
2021-03-03T00:00:00+00:00,Sushiswap,344306764.88058406
2021-03-03T00:00:00+00:00,Uniswap,926972481.715856
2021-03-04T00:00:00+00:00,Sushiswap,380704908.9170247
2021-03-04T00:00:00+00:00,Uniswap,916413328.3103288
2021-03-05T00:00:00+00:00,Sushiswap,352461335.11433923
2021-03-05T00:00:00+00:00,Uniswap,1053007153.449111
2021-03-06T00:00:00+00:00,Sushiswap,286293059.4227299
2021-03-06T00:00:00+00:00,Uniswap,851833992.7581658
2021-03-07T00:00:00+00:00,Sushiswap,287894935.21223396
2021-03-07T00:00:00+00:00,Uniswap,1182798383.835316
2021-03-08T00:00:00+00:00,Sushiswap,326905486.39930093
2021-03-08T00:00:00+00:00,Uniswap,1196630806.3571134
2021-03-09T00:00:00+00:00,Sushiswap,411696695.3872199
2021-03-09T00:00:00+00:00,Uniswap,1199212041.7991397
2021-03-10T00:00:00+00:00,Sushiswap,283227845.1752532
2021-03-10T00:00:00+00:00,Uniswap,1042944509.973029
2021-03-11T00:00:00+00:00,Sushiswap,301917026.8761443
2021-03-11T00:00:00+00:00,Uniswap,1049706009.3332261
2021-03-12T00:00:00+00:00,Sushiswap,279695759.599997
2021-03-12T00:00:00+00:00,Uniswap,1162260520.488293
2021-03-13T00:00:00+00:00,Sushiswap,418330632.4522822
2021-03-13T00:00:00+00:00,Uniswap,1104674370.6475592
2021-03-14T00:00:00+00:00,Sushiswap,283458877.2821498
2021-03-14T00:00:00+00:00,Uniswap,1107661720.2331688
2021-03-15T00:00:00+00:00,Sushiswap,301981225.0280587
2021-03-15T00:00:00+00:00,Uniswap,1148822696.733278
2021-03-16T00:00:00+00:00,Sushiswap,259857945.1189294
2021-03-16T00:00:00+00:00,Uniswap,1058534406.1022445
2021-03-17T00:00:00+00:00,Sushiswap,260057407.8937587
2021-03-17T00:00:00+00:00,Uniswap,1053581801.8088422
2021-03-18T00:00:00+00:00,Sushiswap,223073889.2567907
2021-03-18T00:00:00+00:00,Uniswap,957616860.9570059
2021-03-19T00:00:00+00:00,Sushiswap,235671236.9533743
2021-03-19T00:00:00+00:00,Uniswap,1081131182.2424262
2021-03-20T00:00:00+00:00,Sushiswap,173759474.262333
2021-03-20T00:00:00+00:00,Uniswap,1015060838.2758752
2021-03-21T00:00:00+00:00,Sushiswap,290035448.21709716
2021-03-21T00:00:00+00:00,Uniswap,889468986.5164189
2021-03-22T00:00:00+00:00,Sushiswap,350320365.99217534
2021-03-22T00:00:00+00:00,Uniswap,1392573664.6496432
2021-03-23T00:00:00+00:00,Sushiswap,350837325.37982184
2021-03-23T00:00:00+00:00,Uniswap,1126837737.6321383
2021-03-24T00:00:00+00:00,Sushiswap,421943126.3820955
2021-03-24T00:00:00+00:00,Uniswap,1328820913.7695055
2021-03-25T00:00:00+00:00,Sushiswap,364234958.6009422
2021-03-25T00:00:00+00:00,Uniswap,1112449808.1387246
2021-03-26T00:00:00+00:00,Sushiswap,266994383.97555384
2021-03-26T00:00:00+00:00,Uniswap,996866122.9926262
2021-03-27T00:00:00+00:00,Sushiswap,187546202.96266767
